Site,Lat,Lon,PFT,Year,D13C_gpp,D13C_gs,D13C_6-8,Discr_mod,Stom_mod,beta_stress,Obs
171,34.95,-114.42,BET,1988,21.89539895,22.13564676,20.30787608,simple,Jacobs,0.032676605,15.51868941
171,34.95,-114.42,BET,1988,21.89539895,22.13564676,20.30787608,simple,Jacobs,0.032676605,17.26868941
171,34.95,-114.42,BET,1988,21.89539895,22.13564676,20.30787608,simple,Jacobs,0.032676605,19.10868941
171,34.95,-114.42,BDT,1987,22.25120438,19.90795711,19.90795711,simple,Jacobs,0.010694647,18.36728941
171,34.95,-114.42,BDT,1987,22.25120438,19.90795711,19.90795711,simple,Jacobs,0.010694647,18.46728941
171,34.95,-114.42,BDT,1988,21.14758221,20.06646562,20.06646562,simple,Jacobs,0.032676605,17.95
171,34.95,-114.42,BDT,1988,21.14758221,20.06646562,20.06646562,simple,Jacobs,0.032676605,16.12868941
171,34.95,-114.42,BDT,1988,21.14758221,20.06646562,20.06646562,simple,Jacobs,0.032676605,16.29868941
172,35,-114.4,BET,1992,22.2255845,22.14705977,20.48891485,simple,Jacobs,0.069243068,17.25
172,35,-114.4,BET,1992,22.2255845,22.14705977,20.48891485,simple,Jacobs,0.069243068,15.05
173,34.883,-114.4,BET,1993,22.4043264,22.1895927,20.37611223,simple,Jacobs,0.156911785,17.25
173,34.883,-114.4,BET,1993,22.4043264,22.1895927,20.37611223,simple,Jacobs,0.156911785,15.86
174,46.7,-114.17,NET,1992,22.52313962,23.16272064,21.45035051,simple,Jacobs,0.13103461,18.19637304
174,46.7,-114.17,NDT,1992,21.21136803,21.06103643,21.06103643,simple,Jacobs,0.1263791,19.47284591
175,37.2,-113.9,NET,1993,21.75298601,22.05342119,19.38009746,simple,Jacobs,0.215201224,16.23725862
175,37.2,-113.9,NET,1993,21.75298601,22.05342119,19.38009746,simple,Jacobs,0.215201224,15.6441969
176,34.7,-113.9,NET,1993,21.33897535,21.22364347,18.76688113,simple,Jacobs,0.259200538,17.68640486
176,34.7,-113.9,NET,1993,21.33897535,21.22364347,18.76688113,simple,Jacobs,0.259200538,16.08112261
177,46.85,-113.88,NET,1992,22.5606166,23.11798263,21.55035495,simple,Jacobs,0.097542837,18.20682294
177,46.85,-113.88,NDT,1992,21.33144206,21.25954944,21.25954944,simple,Jacobs,0.093635015,18.95454709
178,47.92,-113.82,NET,1992,22.74971163,23.4404281,22.1507176,simple,Jacobs,0.356928378,19.47284591
178,47.92,-113.82,NDT,1992,22.35201878,22.40815526,22.40815526,simple,Jacobs,0.346631289,19.68764935
179,37.52,-113.33,BDT,1994,21.26326551,20.86774332,20.86774332,simple,Jacobs,0.094891489,18.2
180,37.5,-113.32,NET,2000,21.46014578,21.92431355,19.05942452,simple,Jacobs,0.100781197,18.57269261
181,37.33,-113.3,BET,1994,22.8007218,23.2210551,20.95976552,simple,Jacobs,0.122773888,18
181,37.33,-113.3,NDT,2000,18.22283803,17.29452322,17.29452322,simple,Jacobs,0.098132446,18.74222642
182,43.5,-112.97,BDT,1987,22.05930469,21.72685984,21.72685984,simple,Jacobs,0.051401623,18.66146582
183,37.02,-112.95,BDT,2006,21.79189478,21.26049597,21.26049597,simple,Jacobs,0.385566721,19.65787595
184,40.5,-112.28,NET,1993,21.8935452,23.05920782,20.22142808,simple,Jacobs,0.727148136,15.87301587
185,35.983,-112.183,BDT,1993,21.84755867,21.46606763,21.46606763,simple,Jacobs,0.37705194,18.75
185,35.983,-112.183,BET,1993,23.05750119,23.35459577,21.91913648,simple,Jacobs,0.37705194,17.26
186,39.917,-112.05,BDT,1992,21.67987491,21.43080095,21.43080095,simple,Jacobs,0.250447149,18.48
187,39.92,-112.05,BDT,1988,21.35806314,21.2663655,21.2663655,simple,Jacobs,0.337472548,18.54
188,33.4198,-111.9327833,BDT,2011,22.70895412,19.17839191,19.17839191,simple,Jacobs,0.000326992,18.60830039
189,34.78,-111.93,BET,2006,22.54125432,22.8826002,20.71041795,simple,Jacobs,0.144272149,18.73172215
189,34.78,-111.93,BDT,2006,21.71299213,20.43073223,20.43073223,simple,Jacobs,0.144272149,20.23172215
189,34.78,-111.93,BDT,2006,21.71299213,20.43073223,20.43073223,simple,Jacobs,0.144272149,19.88172215
190,40.77,-111.8,BDT,1991,22.46711634,22.14641698,22.14641698,simple,Jacobs,0.812114398,18.47
190,40.77,-111.8,BDT,2004,22.34375639,22.27281787,22.27281787,simple,Jacobs,0.880772849,21.5
191,40.8,-111.78,BDT,1988,21.8147729,21.77476246,21.77476246,simple,Jacobs,0.762045264,20.17
191,40.8,-111.78,BDT,1988,21.8147729,21.77476246,21.77476246,simple,Jacobs,0.762045264,20.01
191,40.8,-111.78,BDT,1988,21.8147729,21.77476246,21.77476246,simple,Jacobs,0.762045264,19.15
191,40.8,-111.78,BDT,1988,21.8147729,21.77476246,21.77476246,simple,Jacobs,0.762045264,19.73
192,36.9,-111.6,BDT,1992,21.84605437,21.31237547,21.31237547,simple,Jacobs,0.052766832,18.25
192,36.9,-111.6,BET,1992,23.22747062,22.91581806,21.60046897,simple,Jacobs,0.052766832,17.31
193,40.78,-111.47,BDT,1994,22.51291596,21.82128545,21.82128545,simple,Jacobs,0.756123006,18.71720895
193,40.78,-111.47,BDT,1994,22.51291596,21.82128545,21.82128545,simple,Jacobs,0.756123006,20.09972755
194,34.22,-111.43,BDT,2006,22.26654881,20.82245435,20.82245435,simple,Jacobs,0.192945793,20.85018306
194,34.22,-111.43,BDT,2006,22.26654881,20.82245435,20.82245435,simple,Jacobs,0.192945793,19.50018306
195,40.57,-111.33,BDT,1994,22.51291596,21.82128545,21.82128545,simple,Jacobs,0.756123006,18.24675191
196,40.55,-111.1,NET,1996,22.40323903,23.23191519,20.75614251,simple,Jacobs,0.80159086,20.12372056
196,40.55,-111.1,BDT,1996,23.12605234,21.79179258,21.79179258,simple,Jacobs,0.806626379,21.02372056
196,40.55,-111.1,BDT,1996,23.12605234,21.79179258,21.79179258,simple,Jacobs,0.806626379,18.82372056
196,40.55,-111.1,BDT,1996,23.12605234,21.79179258,21.79179258,simple,Jacobs,0.806626379,18.52372056
197,40.65,-110.9,NET,1994,22.32170803,23.47267162,21.23259989,simple,Jacobs,0.550631473,17.11942594
197,40.65,-110.9,NET,1994,22.32170803,23.47267162,21.23259989,simple,Jacobs,0.550631473,19.49179536
197,40.65,-110.9,NET,1994,22.32170803,23.47267162,21.23259989,simple,Jacobs,0.550631473,17.01517015
198,31.78,-110.88,BDT,2010,21.64007293,21.10439054,21.10439054,simple,Jacobs,0.09549981,19.07333718
199,37.18,-110.88,BDT,1997,21.93684957,20.76432635,20.76432635,simple,Jacobs,0.002644115,20.58261496
200,37.28,-110.85,BDT,1997,21.93684957,20.76432635,20.76432635,simple,Jacobs,0.002644115,18.08288928
200,37.28,-110.85,BDT,1997,21.93684957,20.76432635,20.76432635,simple,Jacobs,0.002644115,19.38288928
200,37.28,-110.85,BET,1997,23.51819034,23.11591837,21.03272169,simple,Jacobs,0.002644115,18.58288928
200,37.28,-110.85,BET,1997,23.51819034,23.11591837,21.03272169,simple,Jacobs,0.002644115,21.28288928
201,37.23,-110.85,BET,1997,23.51819034,23.11591837,21.03272169,simple,Jacobs,0.002644115,18.18275212
200,37.28,-110.85,BDT,1997,21.93684957,20.76432635,20.76432635,simple,Jacobs,0.002644115,21.58288928
200,37.28,-110.85,BDT,1997,21.93684957,20.76432635,20.76432635,simple,Jacobs,0.002644115,19.08288928
201,37.23,-110.85,BDT,1997,21.93684957,20.76432635,20.76432635,simple,Jacobs,0.002644115,18.98275212
